2013-01-01	8231
2013-01-02	9570
2013-01-03	8460
2013-01-04	7489
2013-01-05	7691
2013-01-06	8372
2013-01-07	8563
2013-01-08	7010
2013-01-09	6673
2013-01-10	7007
2013-01-11	7105
2013-01-12	6637
2013-01-13	7537
2013-01-14	8557
2013-01-15	6597
2013-01-16	6399
2013-01-17	6981
2013-01-18	6859
2013-01-19	6004
2013-01-20	6315
2013-01-21	8917
2013-01-22	8353
2013-01-23	6761
2013-01-24	7680
2013-01-25	7284
2013-01-26	6529
2013-01-27	7541
2013-01-28	8097
2013-01-29	6330
2013-01-30	5745
2013-01-31	6705
2013-02-01	6481
2013-02-02	5289
2013-02-03	6803
2013-02-04	7560
2013-02-05	6196
2013-02-06	5818
2013-02-07	6558
2013-02-08	3571
2013-02-09	5292
2013-02-10	7568
2013-02-11	7968
2013-02-12	6819
2013-02-13	5944
2013-02-14	6278
2013-02-15	6623
2013-02-16	5802
2013-02-17	5792
2013-02-18	8644
2013-02-19	8129
2013-02-20	6882
2013-02-21	6790
2013-02-22	7125
2013-02-23	5528
2013-02-24	6848
2013-02-25	8274
2013-02-26	7148
2013-02-27	7040
2013-02-28	7186
2013-03-01	15208
2013-03-02	12854
2013-03-03	16668
2013-03-04	17754
2013-03-05	14614
2013-03-06	13300
2013-03-07	13784
2013-03-08	14252
2013-03-09	12984
2013-03-10	15428
2013-03-11	18044
2013-03-12	14310
2013-03-13	15732
2013-03-14	16670
2013-03-15	15966
2013-03-16	13738
2013-03-17	16148
2013-03-18	17860
2013-03-19	16216
2013-03-20	15544
2013-03-21	14654
2013-03-22	15990
2013-03-23	13726
2013-03-24	16218
2013-03-25	18062
2013-03-26	16652
2013-03-27	14992
2013-03-28	15482
2013-03-29	14814
2013-03-30	11746
2013-03-31	14718
2013-04-01	9393
2013-04-02	9181
2013-04-03	8176
2013-04-04	7969
2013-04-05	7600
2013-04-06	6373
2013-04-07	8209
2013-04-08	8636
2013-04-09	6963
2013-04-10	6495
2013-04-11	8823
2013-04-12	7737
2013-04-13	6519
2013-04-14	8067
2013-04-15	8835
2013-04-16	7313
2013-04-17	7131
2013-04-18	7489
2013-04-19	7937
2013-04-20	6749
2013-04-21	7888
2013-04-22	8931
2013-04-23	8071
2013-04-24	7199
2013-04-25	8156
2013-04-26	8102
2013-04-27	6687
2013-04-28	8333
2013-04-29	9275
2013-04-30	7963
2013-05-01	8122
2013-05-02	7943
2013-05-03	8063
2013-05-04	6400
2013-05-05	8372
2013-05-06	9017
2013-05-07	7636
2013-05-08	7468
2013-05-09	8133
2013-05-10	7440
2013-05-11	6368
2013-05-12	8503
2013-05-13	8848
2013-05-14	7246
2013-05-15	7489
2013-05-16	7996
2013-05-17	8153
2013-05-18	7226
2013-05-19	8670
2013-05-20	9979
2013-05-21	7071
2013-05-22	5873
2013-05-23	6338
2013-05-24	6154
2013-05-25	4878
2013-05-26	5116
2013-05-27	9230
2013-05-28	9326
2013-05-29	7603
2013-05-30	7357
2013-05-31	7523
2013-06-01	6871
2013-06-02	8545
2013-06-03	9613
2013-06-04	8025
2013-06-05	7406
2013-06-06	7704
2013-06-07	7175
2013-06-08	6906
2013-06-09	8197
2013-06-10	8508
2013-06-11	7692
2013-06-12	7141
2013-06-13	7333
2013-06-14	7657
2013-06-15	6810
2013-06-16	8458
2013-06-17	8932
2013-06-18	7307
2013-06-19	7692
2013-06-20	7605
2013-06-21	7610
2013-06-22	6322
2013-06-23	8352
2013-06-24	8867
2013-06-25	7876
2013-06-26	7563
2013-06-27	7596
2013-06-28	8245
2013-06-29	6996
2013-06-30	7547
2013-07-01	16120
2013-07-02	12984
2013-07-03	12702
2013-07-04	10858
2013-07-05	10338
2013-07-06	11992
2013-07-07	17708
2013-07-08	21014
2013-07-09	16182
2013-07-10	14326
2013-07-11	15732
2013-07-12	14204
2013-07-13	12678
2013-07-14	15706
2013-07-15	17540
2013-07-16	13978
2013-07-17	14000
2013-07-18	14706
2013-07-19	14982
2013-07-20	12916
2013-07-21	15884
2013-07-22	17864
2013-07-23	15960
2013-07-24	15796
2013-07-25	14884
2013-07-26	14812
2013-07-27	12160
2013-07-28	15340
2013-07-29	17858
2013-07-30	14404
2013-07-31	13888
2013-08-01	3990
2013-08-02	3415
2013-08-03	2976
2013-08-04	3665
2013-08-05	8647
2013-08-06	7407
2013-08-07	7207
2013-08-08	7553
2013-08-09	7847
2013-08-10	6786
2013-08-11	4430
2013-08-12	9172
2013-08-13	7825
2013-08-14	7692
2013-08-15	7977
2013-08-16	8290
2013-08-17	7131
2013-08-18	8445
2013-08-19	9218
2013-08-20	8052
2013-08-21	8202
2013-08-22	8399
2013-08-23	8921
2013-08-24	7637
2013-08-25	8990
2013-08-26	9665
2013-08-27	8262
2013-08-28	7828
2013-08-29	8886
2013-08-30	8598
2013-08-31	7630
2013-09-01	7447
2013-09-02	9681
2013-09-03	10345
2013-09-04	8282
2013-09-05	7495
2013-09-06	7808
2013-09-07	7206
2013-09-08	9031
2013-09-09	9683
2013-09-10	7764
2013-09-11	7072
2013-09-12	7619
2013-09-13	8694
2013-09-14	7095
2013-09-15	8594
2013-09-16	9766
2013-09-17	7913
2013-09-18	7706
2013-09-19	7934
2013-09-20	8493
2013-09-21	7495
2013-09-22	9243
2013-09-23	9178
2013-09-24	7267
2013-09-25	7852
2013-09-26	7644
2013-09-27	8116
2013-09-28	6923
2013-09-29	9137
2013-09-30	10390
2013-10-01	8592
2013-10-02	8032
2013-10-03	8235
2013-10-04	8214
2013-10-05	6651
2013-10-06	9043
2013-10-07	9350
2013-10-08	7831
2013-10-09	8120
2013-10-10	8420
2013-10-11	8626
2013-10-12	7364
2013-10-13	8178
2013-10-14	9914
2013-10-15	8629
2013-10-16	8118
2013-10-17	8542
2013-10-18	8537
2013-10-19	6946
2013-10-20	8776
2013-10-21	9075
2013-10-22	7664
2013-10-23	7826
2013-10-24	8107
2013-10-25	8136
2013-10-26	6704
2013-10-27	8358
2013-10-28	8937
2013-10-29	7044
2013-10-30	7251
2013-10-31	7449
2013-11-01	7647
2013-11-02	6105
2013-11-03	7858
2013-11-04	8883
2013-11-05	7245
2013-11-06	7047
2013-11-07	7670
2013-11-08	7792
2013-11-09	6272
2013-11-10	7884
2013-11-11	8992
2013-11-12	7214
2013-11-13	6611
2013-11-14	7109
2013-11-15	7412
2013-11-16	6040
2013-11-17	7644
2013-11-18	8966
2013-11-19	6545
2013-11-20	6738
2013-11-21	7309
2013-11-22	7554
2013-11-23	6621
2013-11-24	6766
2013-11-25	6867
2013-11-26	6292
2013-11-27	6425
2013-11-28	5056
2013-11-29	5439
2013-11-30	7336
2013-12-01	10622
2013-12-02	11386
2013-12-03	8432
2013-12-04	7757
2013-12-05	7741
2013-12-06	7532
2013-12-07	6572
2013-12-08	7889
2013-12-09	8863
2013-12-10	6572
2013-12-11	6928
2013-12-12	7499
2013-12-13	7429
2013-12-14	5590
2013-12-15	7371
2013-12-16	7672
2013-12-17	6485
2013-12-18	6659
2013-12-19	6716
2013-12-20	7153
2013-12-21	5767
2013-12-22	5754
2013-12-23	5731
2013-12-24	4252
2013-12-25	4771
2013-12-26	6991
2013-12-27	7666
2013-12-28	7676
2013-12-29	8844
2013-12-30	8945
2013-12-31	6888
