date	close	
2013-01-01	9357
2013-01-02	12099
2013-01-03	8914
2013-01-04	7334
2013-01-05	5074
2013-01-06	8049
2013-01-07	9754
2013-01-08	8434
2013-01-09	8375
2013-01-10	9629
2013-01-11	8747
2013-01-12	5442
2013-01-13	9417
2013-01-14	11877
2013-01-15	9825
2013-01-16	9292
2013-01-17	10438
2013-01-18	10581
2013-01-19	4735
2013-01-20	6663
2013-01-21	11747
2013-01-22	10829
2013-01-23	10201
2013-01-24	10181
2013-01-25	9146
2013-01-26	5849
2013-01-27	9048
2013-01-28	11089
2013-01-29	9189
2013-01-30	8149
2013-01-31	9866
2013-02-01	9597
2013-02-02	3811
2013-02-03	7821
2013-02-04	11258
2013-02-05	9342
2013-02-06	9392
2013-02-07	10623
2013-02-08	3542
2013-02-09	4773
2013-02-10	9209
2013-02-11	10980
2013-02-12	10508
2013-02-13	9194
2013-02-14	10194
2013-02-15	10591
2013-02-16	4624
2013-02-17	6643
2013-02-18	12198
2013-02-19	11255
2013-02-20	9917
2013-02-21	10893
2013-02-22	9950
2013-02-23	4898
2013-02-24	9332
2013-02-25	12179
2013-02-26	10177
2013-02-27	9945
2013-02-28	11330
2013-03-01	10496
2013-03-02	5439
2013-03-03	10661
2013-03-04	12611
2013-03-05	9908
2013-03-06	8771
2013-03-07	9961
2013-03-08	9474
2013-03-09	6965
2013-03-10	9804
2013-03-11	12772
2013-03-12	10651
2013-03-13	11807
2013-03-14	12572
2013-03-15	10833
2013-03-16	5616
2013-03-17	10605
2013-03-18	11213
2013-03-19	11822
2013-03-20	10901
2013-03-21	10804
2013-03-22	10877
2013-03-23	6247
2013-03-24	10468
2013-03-25	11820
2013-03-26	10837
2013-03-27	10127
2013-03-28	11201
2013-03-29	8721
2013-03-30	4402
2013-03-31	9754
2013-04-01	13255
2013-04-02	11796
2013-04-03	11341
2013-04-04	11710
2013-04-05	10388
2013-04-06	5213
2013-04-07	9861
2013-04-08	11718
2013-04-09	10504
2013-04-10	9610
2013-04-11	14038
2013-04-12	11329
2013-04-13	6385
2013-04-14	11405
2013-04-15	12290
2013-04-16	10201
2013-04-17	10203
2013-04-18	11848
2013-04-19	11176
2013-04-20	6506
2013-04-21	9889
2013-04-22	13361
2013-04-23	11010
2013-04-24	10221
2013-04-25	12909
2013-04-26	11257
2013-04-27	6296
2013-04-28	11220
2013-04-29	12579
2013-04-30	10575
2013-05-01	10609
2013-05-02	11365
2013-05-03	10821
2013-05-04	5952
2013-05-05	12214
2013-05-06	13337
2013-05-07	10932
2013-05-08	10616
2013-05-09	12791
2013-05-10	11113
2013-05-11	5688
2013-05-12	11182
2013-05-13	13909
2013-05-14	11502
2013-05-15	11757
2013-05-16	12949
2013-05-17	12219
2013-05-18	7093
2013-05-19	11727
2013-05-20	13648
2013-05-21	11360
2013-05-22	8834
2013-05-23	9254
2013-05-24	10099
2013-05-25	4979
2013-05-26	4589
2013-05-27	12295
2013-05-28	13910
2013-05-29	11707
2013-05-30	11586
2013-05-31	10886
2013-06-01	6193
2013-06-02	10675
2013-06-03	14357
2013-06-04	12282
2013-06-05	11490
2013-06-06	12392
2013-06-07	10746
2013-06-08	6446
2013-06-09	11624
2013-06-10	12814
2013-06-11	11668
2013-06-12	11054
2013-06-13	9762
2013-06-14	12572
2013-06-15	6007
2013-06-16	11542
2013-06-17	12846
2013-06-18	11286
2013-06-19	11797
2013-06-20	11644
2013-06-21	10168
2013-06-22	5599
2013-06-23	11497
2013-06-24	12214
2013-06-25	11550
2013-06-26	11421
2013-06-27	10529
2013-06-28	12329
2013-06-29	7945
2013-06-30	9006
2013-07-01	10194
2013-07-02	6977
2013-07-03	8069
2013-07-04	5093
2013-07-05	5106
2013-07-06	5493
2013-07-07	10906
2013-07-08	15487
2013-07-09	11124
2013-07-10	10497
2013-07-11	12049
2013-07-12	9788
2013-07-13	5392
2013-07-14	10782
2013-07-15	11728
2013-07-16	9953
2013-07-17	9689
2013-07-18	10612
2013-07-19	10275
2013-07-20	5838
2013-07-21	10761
2013-07-22	10389
2013-07-23	11727
2013-07-24	10389
2013-07-25	10756
2013-07-26	9747
2013-07-27	5429
